subid,horizon,choice_time,type,side,stim_1,stim_2,calculation,accuracy,mult_rew,add_rew,trial_nr,game_nr,time_elapsed
4711,5,5163,mult,left,-1,-1,-1,-1,69,47,1,-2,203258
4711,5,735,mult,left,-1,-1,-1,-1,58,60,2,-2,205004
4711,5,919,add,right,-1,-1,-1,-1,64,40,3,-2,206935
4711,5,594,add,right,-1,-1,-1,-1,75,39,4,-2,208539
4711,5,15446,add,right,2,4,6,1,60,54,5,-2,224995
4711,8,2338,add,right,-1,-1,-1,-1,51,47,1,-1,230515
4711,8,684,mult,left,-1,-1,-1,-1,54,57,2,-1,232211
4711,8,572,add,right,-1,-1,-1,-1,66,52,3,-1,233792
4711,8,573,add,right,-1,-1,-1,-1,53,67,4,-1,235374
4711,8,9716,mult,left,5,8,40,1,60,58,5,-1,246101
4711,8,8943,mult,left,6,14,84,1,38,58,6,-1,256054
4711,8,4171,add,right,10,16,26,1,41,58,7,-1,261238
4711,8,1951,add,right,3,14,17,1,49,62,8,-1,264201
3925,5,3532,add,left,-1,-1,-1,-1,58,48,1,-2,329978
3925,5,999,mult,right,-1,-1,-1,-1,53,59,2,-2,331986
3925,5,1251,add,left,-1,-1,-1,-1,60,51,3,-2,334250
3925,5,944,add,left,-1,-1,-1,-1,63,57,4,-2,336203
3925,5,18882,mult,right,12,20,240,1,54,44,5,-2,356096
3925,8,1781,mult,right,-1,-1,-1,-1,37,56,1,-1,361832
3925,8,466,mult,right,-1,-1,-1,-1,25,84,2,-1,363309
3925,8,406,add,left,-1,-1,-1,-1,52,70,3,-1,364730
3925,8,364,add,left,-1,-1,-1,-1,41,66,4,-1,366104
3925,8,6246,add,left,7,20,27,1,32,67,5,-1,373359
3925,8,4692,mult,right,8,8,64,1,47,63,6,-1,379060
3925,8,3013,mult,right,3,13,39,1,52,72,7,-1,383084
3925,8,6348,add,left,13,18,31,1,35,53,8,-1,390440
2720,5,2076,add,right,-1,-1,-1,-1,53,48,1,-2,138706
2720,5,1555,mult,left,-1,-1,-1,-1,56,50,2,-2,141271
2720,5,964,add,right,-1,-1,-1,-1,62,51,3,-2,143244
2720,5,421,mult,left,-1,-1,-1,-1,57,57,4,-2,144672
2720,5,2456,-1,-1,11,23,4,0,58,55,5,-2,148138
