subid,stim_1,stim_2,type,calculation,accuracy,block,trial_nr
4711,7,16,mult,112,1,3,1
4711,13,21,add,34,1,3,2
4711,7,14,mult,98,1,3,3
4711,10,7,mult,70,1,3,4
4711,21,8,mult,168,1,3,5
4711,19,6,mult,104,0,3,6
4711,14,13,mult,114,0,3,7
4711,5,14,add,19,1,3,8
4711,23,19,mult,848,0,3,9
4711,15,2,mult,30,1,3,10
3925,7,16,mult,112,1,3,1
3925,14,13,mult,182,1,3,2
3925,7,14,mult,98,1,3,3
3925,15,2,mult,30,1,3,4
3925,23,19,mult,407,0,3,5
3925,10,7,mult,70,1,3,6
3925,13,21,add,34,1,3,7
3925,19,6,mult,114,1,3,8
3925,21,8,mult,169,0,3,9
3925,5,14,add,19,1,3,10
2720,10,7,mult,70,1,3,1
2720,23,19,mult,340,0,3,2
2720,13,21,add,34,1,3,3
2720,7,14,mult,230,0,3,4
2720,14,13,mult,32,0,3,5
2720,15,2,mult,30,1,3,6
2720,21,8,mult,222,0,3,7
2720,5,14,add,19,1,3,8
2720,7,16,mult,29,0,3,9
2720,19,6,mult,490,0,3,10
4362,23,19,mult,437,1,3,1
4362,15,2,mult,30,1,3,2
4362,5,14,add,19,1,3,3
4362,7,16,mult,112,1,3,4
4362,10,7,mult,70,1,3,5
4362,19,6,mult,114,1,3,6
4362,21,8,mult,168,1,3,7
4362,14,13,mult,182,1,3,8
4362,7,14,mult,98,1,3,9
4362,13,21,add,34,1,3,10
1425,21,8,mult,168,1,3,1
1425,19,6,mult,114,1,3,2
1425,7,14,mult,98,1,3,3
1425,13,21,add,34,1,3,4
1425,14,13,mult,172,0,3,5
1425,10,7,mult,70,1,3,6
1425,7,16,mult,112,1,3,7
1425,15,2,mult,30,1,3,8
1425,5,14,add,19,1,3,9
1425,23,19,mult,337,0,3,10
4869,19,6,mult,114,1,3,1
4869,14,13,mult,182,1,3,2
4869,21,8,mult,168,1,3,3
4869,13,21,add,34,1,3,4
4869,7,16,mult,112,1,3,5
4869,15,2,mult,30,1,3,6
4869,23,19,mult,437,1,3,7
4869,7,14,mult,98,1,3,8
4869,5,14,add,19,1,3,9
4869,10,7,mult,70,1,3,10
3244,7,14,mult,98,1,3,1
3244,23,19,mult,400,0,3,2
3244,13,21,add,34,1,3,3
3244,21,8,mult,168,1,3,4
3244,5,14,add,19,1,3,5
3244,7,16,mult,112,1,3,6
3244,15,2,mult,30,1,3,7
3244,19,6,mult,114,1,3,8
3244,10,7,mult,70,1,3,9
3244,14,13,mult,189,0,3,10
4578,19,6,mult,114,1,3,1
4578,14,13,mult,182,1,3,2
4578,7,16,mult,112,1,3,3
4578,15,2,mult,30,1,3,4
4578,5,14,add,19,1,3,5
4578,7,14,mult,98,1,3,6
4578,13,21,add,34,1,3,7
4578,10,7,mult,70,1,3,8
4578,21,8,mult,168,1,3,9
4578,23,19,mult,441,0,3,10
3493,14,13,mult,182,1,3,1
3493,7,14,mult,98,1,3,2
3493,10,7,mult,70,1,3,3
3493,23,19,mult,437,1,3,4
3493,7,16,mult,112,1,3,5
3493,19,6,mult,294,0,3,6
3493,5,14,add,19,1,3,7
3493,15,2,mult,30,1,3,8
3493,13,21,add,33,0,3,9
3493,21,8,mult,408,0,3,10
4770,13,21,add,34,1,3,1
4770,23,19,mult,257,0,3,2
4770,5,14,add,19,1,3,3
4770,14,13,mult,152,0,3,4
4770,7,14,mult,98,1,3,5
4770,19,6,mult,114,1,3,6
4770,15,2,mult,30,1,3,7
4770,7,16,mult,122,0,3,8
4770,21,8,mult,168,1,3,9
4770,10,7,mult,70,1,3,10
4621,15,2,mult,30,1,3,1
4621,19,6,mult,114,1,3,2
4621,7,14,mult,98,1,3,3
