subid,age,gender,add_side,mult_side,q1,q2,q3,q4,time_elapsed
4711,20,Female,right,left,Some of the time,Not at all,Most of the time,NA,6098454
3925,19,Female,left,right,Not at all,Not at all,Not at all,NA,1468479
2720,19,Female,right,left,Not at all,Not at all,Always,NA,4457851
4362,19,Female,left,right,Not at all,Not at all,Always,NA,1530080
1425,21,Female,right,left,Not at all,Not at all,Always,NA,1919965
4869,18,Female,right,left,Not at all,Not at all,Always,NA,2392873
3244,19,Female,left,right,Not at all,Some of the time,Most of the time,NA,3155043
4578,20,Male,right,left,Not at all,Not at all,Always,NA,4115673
3493,19,Male,right,left,Not at all,Not at all,Most of the time,NA,1641125
4770,18,Female,left,right,Not at all,Not at all,Always,NA,2156868
4621,19,Male,right,left,Not at all,Not at all,Always,NA,3520146
4744,21,Male,left,right,Not at all,Not at all,Always,NA,2147090
4153,19,Female,left,right,Not at all,Not at all,Always,NA,1589547
2447,20,Female,right,left,Some of the time,Not at all,Most of the time,NA,2454170
2811,20,Female,right,left,Some of the time,Not at all,Most of the time,NA,2872466
1203,20,Male,left,right,Some of the time,Not at all,Some of the time,NA,1811473
2584,18,Male,left,right,Not at all,Some of the time,Most of the time,NA,3919949
4507,21,Female,left,right,Not at all,Not at all,Always,NA,1919203
471,20,Female,left,right,Not at all,Not at all,Most of the time,NA,1867567
3950,20,Male,left,right,Not at all,Not at all,Always,NA,1864995
962,20,Female,left,right,Some of the time,Not at all,Most of the time,NA,2837152
2350,21,Female ,right,left,Not at all,Not at all,Always,NA,1478336
2969,20,Male,right,left,Not at all,Not at all,Always,NA,1758328
1133,20,Male,left,right,Not at all,Not at all,Always,NA,2783669
955,21,Female,right,left,Not at all,Not at all,Always,NA,2335761
4784,19,Male,right,left,Not at all,Some of the time,Most of the time,NA,2293959
2346,21,Female,right,left,Not at all,Not at all,Always,NA,4516602
4865,19,Male,right,left,Not at all,Not at all,Always,NA,2333802
3306,20,Male,left,right,Not at all,Not at all,Always,NA,2233235
4839,19,Male,right,left,Not at all,Not at all,Always,NA,993948
4261,19,Male,left,right,Not at all,Not at all,Always,NA,1667724
4539,18,Male,right,left,Not at all,Not at all,Always,NA,2003112
4700,18,Female,left,right,Not at all,Not at all,Always,NA,1825220
709,21,Female,right,left,Not at all,Not at all,Always,NA,2074199
4191,19,Female,left,right,Some of the time,Not at all,Most of the time,NA,1805688
4789,20,Male,right,left,Not at all,Not at all,Always,NA,1562831
2940,20,Male,left,right,Not at all,Not at all,Always,NA,2524976
4193,19,Female,right,left,Not at all,Not at all,Always,NA,1606046
4893,21,Female,right,left,Not at all,Not at all,Always,NA,1403256
641,20,Female,left,right,Not at all,Not at all,Always,NA,4003255
1912,20,Female,right,left,Not at all,Not at all,Always,NA,2547690
4888,19,Male,right,left,Not at all,Not at all,Always,NA,3080480
4620,19,Female,right,left,Not at all,Not at all,Most of the time,NA,4280366
4550,19,Female,right,left,Not at all,Not at all,Always,NA,2406455
3205,20,Male,right,left,Not at all,Not at all,Always,NA,2019173
2159,21,Male,left,right,Not at all,Not at all,Always,NA,2773401
2249,22,Male,left,right,Not at all,Not at all,Always,NA,4627195
1896,21,Female,left,right,Some of the time,Not at all,Most of the time,NA,2624757
4655,18,Female,left,right,Not at all,Not at all,Most of the time,NA,3515081
3713,21,Female,left,right,Some of the time,Not at all,Most of the time,NA,2107397
4596,18,Female,right,left,Not at all,Not at all,Always,NA,3667962
351,20,Female,left,right,Not at all,Not at all,Always,NA,2165529
4793,21,Female,right,left,Not at all,Not at all,Always,NA,2062829
4774,19,Female ,right,left,Not at all,Not at all,Always,NA,2953228
589,21,Male,right,left,Not at all,Not at all,Always,NA,2098454
611,20,Male,left,right,Some of the time,Not at all,Most of the time,NA,2362328
4723,20,Female,right,left,Not at all,Not at all,Always,NA,2293002
2746,19,Male,left,right,Not at all,Some of the time,Most of the time,NA,3269196
4518,19,Female,left,right,Not at all,Not at all,Always,NA,2299866
964,22,Male,right,left,Not at all,Not at all,Always,NA,2202166
4818,22,Male,right,left,Not at all,Not at all,Always,NA,2335039
4845,18,Female,right,left,Not at all,Some of the time,Some of the time,NA,1818786
1004,20,Female,right,left,Not at all,Not at all,Always,NA,2248527
3720,21,Female,left,right,Not at all,Not at all,Always,NA,3333577
4819,19,Male,left,right,Not at all,Not at all,Always,NA,3101758
938,22,Female,right,left,Not at all,Not at all,Always,NA,2433558
4125,18,Female,left,right,Not at all,Not at all,Always,NA,2884733
3000,21,Female,left,right,Not at all,Not at all,Always,NA,2459014
4182,19,Male,left,right,Not at all,Not at all,Always,NA,2452316
1545,22,Female,left,right,Not at all,Not at all,Most of the time,NA,3791832
4392,19,Female,right,left,Not at all,Some of the time,Most of the time,NA,90887152
2814,20,Male,right,left,Some of the time,Not at all,Most of the time,NA,3581010
3570,20,Male,left,right,Not at all,Not at all,Always,NA,2153442
4846,19,Female,right,left,Not at all,Not at all,Always,NA,5590266
4521,19,Female,left,right,Not at all,Some of the time,Most of the time,NA,1975145
1864,22,Female,left,right,Not at all,Not at all,Always,NA,1694051
867,21,Female,left,right,Some of the time,Not at all,Some of the time,NA,1765507
4357,19,Female,left,right,Not at all,Not at all,Always,NA,5059916
668,22,Male,left,right,Not at all,Not at all,Always,NA,2346548
2052,20,Female,left,right,Not at all,Not at all,Always,NA,2471020
3078,21,Female,left,right,Not at all,Not at all,Always,NA,101723206
820,21,Female,left,right,Not at all,Not at all,Always,NA,3903187
3099,20,Male,right,left,Not at all,Not at all,Always,NA,1700639
2041,20,Male,left,right,Not at all,Some of the time,Most of the time,NA,7668183
4650,20,Female,left,right,Not at all,Not at all,Always,NA,2634999
2469,21,Female,right,left,Not at all,Not at all,Always,NA,2125858
4427,19,Female,right,left,Not at all,Not at all,Always,NA,2114008
1770,22,Female,right,left,Not at all,Not at all,Always,NA,2602433
4868,22,Male,left,right,Not at all,Not at all,Always,NA,1476243
4892,19,nonbinary,right,left,Not at all,Not at all,Always,NA,3606374
1985,21,Female,left,right,Not at all,Not at all,Most of the time,NA,2320982
2699,19,Female,right,left,Not at all,Not at all,Always,NA,4786078
4709,19,Female,right,left,Not at all,Some of the time,Most of the time,NA,3879872
1738,21,Female,left,right,Not at all,Not at all,Always,NA,1554079
4728,22,Male,left,right,Not at all,Not at all,Always,NA,2877443
2239,21,Male,left,right,Not at all,Not at all,Always,NA,4455006
4697,18,Male,right,left,Not at all,Some of the time,Most of the time,NA,2555177
4140,19,Female,left,right,Not at all,Not at all,Always,NA,2336808
4544,22,Female,right,left,Not at all,Not at all,Always,NA,1639001
1329,20,Male,right,left,Not at all,Not at all,Always,NA,2638654
4320,22,Male,left,right,Some of the time,Not at all,Most of the time,NA,1583182
4689,21,Male,left,right,Not at all,Not at all,Always,NA,2133968
1816,21,Female,left,right,Not at all,Not at all,Always,NA,3448528
4866,18,Female,left,right,Not at all,Not at all,Always,NA,66373627
4862,21,Male,left,right,Not at all,Not at all,Always,NA,1754777
4418,19,Female,right,left,Not at all,Not at all,Always,NA,2224697
454,21,Female,right,left,Not at all,Not at all,Most of the time,NA,13522914
4787,22,Male,right,left,Not at all,Not at all,Always,NA,1705146
1999,21,Male,right,left,Some of the time,Not at all,Most of the time,NA,2218762
4904,18,Female,right,left,Not at all,Not at all,Always,NA,3500612
4719,19,Female,left,right,Not at all,Not at all,Always,NA,2283469
2737,20,Female,right,left,Not at all,Not at all,Always,NA,1700529
1140,22,Male,left,right,Not at all,Not at all,Always,NA,1778761
4717,20,Female,right,left,Not at all,Not at all,Always,NA,2615044
4880,19,Male,right,left,Not at all,Not at all,Always,NA,56463035
4360,18,Female,right,left,Not at all,Not at all,Always,NA,2271650
4910,19,Female,left,right,Not at all,Not at all,Always,NA,2064302
3680,18,Female,right,left,Not at all,Some of the time,Most of the time,NA,3078415
2471,21,Male,left,right,Not at all,Not at all,Always,NA,1630845
973,20,non-binary,right,left,Not at all,Not at all,Always,NA,3224067
4574,19,Male,right,left,Not at all,Not at all,Always,NA,1473217
2423,21,Male,right,left,Not at all,Not at all,Always,NA,4752530
4532,24,Male,right,left,Not at all,Not at all,Always,NA,1713997
1676,20,Female,left,right,Not at all,Not at all,Always,NA,3643515
4873,22,Female,left,right,Not at all,Not at all,Always,NA,2384721
4568,20,Male,right,left,Not at all,Not at all,Always,NA,1840470
2441,20,Female ,left,right,Some of the time,Not at all,Most of the time,NA,106458390
2845,20,Male,right,left,Not at all,Not at all,Always,NA,2636713
2777,19,Female,right,left,Not at all,Not at all,Always,NA,2763769
1122,20,Female,left,right,Not at all,Not at all,Always,NA,1491752
3171,21,Male,left,right,Not at all,Not at all,Always,NA,2096008
4896,20,Male,right,left,Some of the time,Some of the time,Most of the time,NA,256146719
4822,18,Female,left,right,Not at all,Not at all,Always,NA,2187605
5202,18,Female,right,left,Not at all,Not at all,Always,"Whenever I saw which slot machine had the highest numbers, I solved that particular equation for the rest of the rolls.  ",2709852
5144,18,Female,left,right,Not at all,Not at all,Always,"I mostly picked all the choices in the column that had the highest average of the 2 examples. If it was close, sometimes I'd pick one from the other side. ",3545403
5125,18,Female,right,left,Not at all,Some of the time,Most of the time,"I picked whichever was easier. If adding the numbers was easier, I did that. If multiplying was easier, I did that.",1704741
5335,19,Male,left,right,Not at all,Not at all,Always,Pattern recognition,2391576
2561,21,Female,left,right,Not at all,Not at all,Always,"I would consider the averages already presented in each column. If the averages were already really far apart, I would try to do the mathf or the column with the higher average. If the averages were fairly close, I would do the math for the column with the higher average to see if that extra information would increase the average a significant amount. If it did, I would continue doing the math for that column until the end. If the averages still seemed too similar, I would do the math for the other columms to get more information.",12485805
5334,18,Male,right,left,Not at all,Not at all,Always,"I picked which ever had a higher average or a higher range, leading to a most likely higher mean.",22742387
2848,20,Female,right,left,Some of the time,Not at all,Most of the time,I used guesstimations in my head of the highest average from the first four pulls,2233797
2513,20,Female,left,right,Some of the time,Not at all,Most of the time,I usually decided based on which average seemed higher but sometimes I would just choose the addition side because it was easier to solve,2887052
5270,22,Male,left,right,Not at all,Not at all,Always,I usually picked the slot machine with the higher known average.,2101213
5088,18,Female,right,left,Not at all,Not at all,Always,Just depended on how large the numbers were and if I could do the multiplication in my head or not. ,2162401
3850,19,Female,left,right,Not at all,Not at all,Always,"Choose bandit with overall high score. If its the multiplying bandit, i add only if im not sure. ",2074767
4095,19,Female,right,left,Not at all,Not at all,Always,Whichever I thought was easier ,1736047
5141,19,Female,right,left,Not at all,Some of the time,Most of the time,I looked at the numbers that appeared. I would try to do the problem that would get me on the side that had bigger numbers. ,2079838
5130,19,Female,right,left,Not at all,Not at all,Always,"Which side would give me more points, how difficult the math problem was",2715850
262,21,Female,right,left,Not at all,Not at all,Always,no,2741605
5220,18,Female,left,right,Not at all,Not at all,Always,"I didn't fully calculate out the averages in my head, but I had a good understanding if it was averaging low numbers or high numbers. If it seemed pretty similar  I usually did one on each side to then continue to figure out which one to do. ",4725998
5199,18,Female,left,right,Some of the time,Not at all,Most of the time,"To be honest, if there were two 2-digit numbers, I added it.",2590806
5208,18,Female,right,left,Not at all,Not at all,Some of the time,Whichever slot machine seemed to be producing the higher numbers during that round was the machine that I went with (and stuck with unless the numbers it produced dropped significantly).,4281688
4609,21,Male,right,left,Not at all,Not at all,Always,"I tried to see which one was giving out bigger numbers. That said, I would rarely change, even if the. machine I was on started giving out smaller numbers.",2251787
5079,19,Female,right,left,Not at all,Not at all,Always,I did whichever had a higher average from before unless the multiplication was hard.,1866729
2728,20,Female,right,left,Not at all,Not at all,Always,Which math was easier  for me to do ,2398993
5351,18,Female,left,right,Not at all,Not at all,Always,"the known numbers, difficulty of calculation",2655610
4668,20,Female ,right,left,Some of the time,Not at all,Most of the time,whatever was easier/quicker math ,2244302
4070,20,Female,left,right,Not at all,Not at all,Always,"the forced-choice responses 
the difficulty of the problem if done using multiplication ",2366490
5314,18,Female,right,left,Not at all,Some of the time,Most of the time,"If the given numbers were higher for one side, I would be more likely to select the same side.",2694471
5352,18,Female,left,right,Not at all,Not at all,Most of the time,"I don't do multiplication with two two-digit numbers. I didn't have a strategy to pick either side, I just pressed F and J at the same time to make it go faster.",3660632
4948,18,Female,right,left,Not at all,Not at all,Always,"If the problem was significantly harder to multiply, I just added it instead. For simpler problems, I just randomly decided which to do.",2656776
4361,19,Female,right,left,Not at all,Not at all,Always,didn't want to take the risk with higher numbers I wasn't sure if I'd get right so went with addition mostly ,2377506
3413,20,Male,left,right,Not at all,Not at all,Always,Addition was easier,3502019
5209,21,Female,left,right,Not at all,Not at all,Always,i try to use the side that has the highest average. sometimes I get lazy and do the addition even when the multiplication side seems to yield a higher number. Note: half the mistakes I made are due to typos. I get through them too fast,2157206
3832,19,Female,right,left,Not at all,Not at all,Always,points revealed and went with the side that had the highest. Switched if the ones I picked are lower than the other side,3828429
5216,18,Male,left,right,Not at all,Not at all,Always,"I realized that getting an answer wrong was very very bad, so even if I was sure the right side had a greater average, I still added the two numbers together if I didn't feel 90% confident that I could multiply them accurately",2701290
2395,20,Female,right,left,Not at all,Not at all,Always,"I picked the side that had the highest average. sometimes if the averages were very close, I would choose whichever had an easier math problem ",2902176
5048,17,Male,right,left,Not at all,Not at all,Always,which set had a higher mean value of previous shown numbers,2613359
4078,19,Female,right,left,Not at all,Not at all,Always,guess the average and pick one side that seems to be higher,2643280
4969,18,Male,right,left,Not at all,Not at all,Always,I chose based on the 4 numbers provided (I went for the bandit that has a bigger average),3154662
5197,18,Male,left,right,Not at all,Not at all,Always,"If it had more given values, I tended to trust its average more. I also weighed the chance of computing an incorrect calculation (a difficult multiplication) versus the expected reward. In those scenarios I used some addition values even though I knew I would be getting less points but a guaranteed amount of points. I guess this was because I wanted to be quick in my answers and I thought spending too much time would defeat the purpose of the game. ",2038626
5116,18,Male,left,right,Some of the time,Not at all,Most of the time,"A high percentage of the time I resorted to multiplication. I'm not sure why but I made a connection between points and difficulty of the problem and multiplication tends to be more difficult so I tried my best to do multiplication. When I was doing this initially, I used mental math only. Then I got to a point where I felt like I was wasting time trying to solve something mentally so I whipped out my calculator. Then after about 20 minutes, I took a break, and stopped using the calculator completely. For the remainder of the exercise, I continued to use mental math only but frequently did addition when the problem took a little longer than usual. Additionally, the incentive of the gift card made me want to do more multiplication because I thought it gave more points. Lastly, I sometimes switched to addition when I noticed some sort of pattern with the points where it looked like addition gave more points than multiplication.",11243816
5359,18,Female,right,left,Not at all,Not at all,Always,I started with the bandit with the higher average for the first 4 numbers.,2750164
5064,18,Male,right,left,Not at all,Not at all,Always,I tried to reveal an equal number of cards on each side or if the multiplication was difficult to perform I just solved for additon.,2106508
4124,20,Male,left,right,Not at all,Not at all,Always,I tried to prioritize getting the correct answer,1961692
4185,19,Female,right,left,Some of the time,Not at all,Most of the time,"I factored in how large the numbers from the forced choices were, and I usually chose the side that had the higher forced average.",44984554
3515,20,Male,right,left,Not at all,Not at all,Always,"I would try to go for the one that I thought had the higher average, unless the math problem was too hard, then I would do addition. I would do addition when both numbers had two digits, 11 and up.",2479307
5192,18,Female,left,right,Most of the time,Not at all,Some of the time,Which ever side was higher in value I just stuck with that side. ,3981246
1530,21,Female,right,left,Not at all,Not at all,Most of the time,whichever seemed easier!,1435514
5281,19,Female ,left,right,Not at all,Not at all,Always,For most I picked the bandit that had revealed the highest numbers. Sometimes the difficulty of the multiplication problem impacted by choice. ,4422554
5327,18,Male,left,right,Not at all,Not at all,Always,Whichever side had the highest average at the time of picking is pretty much whichever side I went for. ,3912954
3321,21,Female,left,right,Some of the time,Not at all,Most of the time,I picked the one that seemed to have more higher numbers show up,2784239
5180,18,Female,left,right,Not at all,Some of the time,Most of the time,I tended to choose the side with higher numbers (even if sometimes multiplication had to be used). ,3097805
5008,18,Female,right,left,Not at all,Not at all,Always,I tried to find a pattern or strategy so many times and was trying things out but right when I would think I figured it out the pattern would change and it wouldn't be true so by the end I gave up trying to use the information to guide my answer.,2448827
3377,20,female/queer,right,left,Some of the time,Not at all,Always,"I used the previous values to determine which bandit was more likely to have a higher number, in addition to considering if an easier multiplication problem meant a lower score from the multiplication bandit.",2539389
246,21,Female,right,left,Not at all,Not at all,Always,"If addition had higher values, I always did addition.

If multiplication had higher values, I did multiplication when I felt confident about doing the math in my head, and did addition when I felt like I couldn't do the multiplication in my head.",1819375
2499,20,Female,left,right,Not at all,Not at all,Always,The easiest one mentally ,2227193
5127,19,Female,right,left,Not at all,Not at all,Always,I just did what ever was easiest (multiplication or addition). I didn't pick based on which would yield me the most points. ,1992521
4163,19,Female,left,right,Some of the time,Not at all,Most of the time, not really ,1711930
2383,20,Female,left,right,Not at all,Not at all,Always,"I do addition when the numbers are ones I can't multiply in my head. When the numbers are easy, I would go based on where I thought the bigger number would be.",2077318
4385,19,Male,right,left,Not at all,Not at all,Always,I tried to pick whichever side had the higher average come up to that point. If one side had a very low number I wouldn't pick that one. On a couple of them I just didn't want to do the multiplication and so did addition even though it was the statistically incorrect choice. ,2292959
4563,19,Female,left,right,Not at all,Not at all,Always,I looked at the values that were revealed through the forced decision and also the difficulty of the math problems.,2389267
457,21,Prefer not to say,right,left,Not at all,Not at all,Always,No,1877842
2876,20,Female,left,right,Most of the time,Not at all,Some of the time,I picked whichever side had higher numbers previously ,2259603
5386,20,Female,left,right,Not at all,Not at all,Always,All mental math. ,2006776
5046,21,trans man,right,left,Not at all,Not at all,Always,whichever math problem was easier and if they were both easy I based it on the average of each slot thus far,2647399
3449,21,Male,right,left,Not at all,Not at all,Always,"Frankly, I did the addition one almost every time. Some of those 2 digit ones are just tough",1409784
5227,19,Male,left,right,Not at all,Not at all,Always,whichever I solved quicker in my head,3140152
2430,20,Female,right,left,Some of the time,Not at all,Most of the time,what the avg of the slots were,3071315
788,21,Female,left,right,Not at all,Not at all,Always,I tried to pick the ones with higher previous values. If I could not multiply the numbers I would just add them. ,1798683
4634,19,Female,right,left,Not at all,Some of the time,Most of the time,Tried to stay with one choice the entire trial. ,2201957
3956,19,Female,right,left,Not at all,Not at all,Always,"NO. MOST OFTEN, I CHOSE THE EASIER CALCULATION, ESPECIALLY WITH TWO 2-DIGIT NUMBERS.",1468991
5367,18,Female,left,right,Not at all,Not at all,Always,"Whichever slot had higher numbers, I would mainly choose that slot.",2113858
4155,21,Female,right,left,Not at all,Not at all,Always,no,3057972
5346,21,Male,right,left,Some of the time,Not at all,Some of the time,"no, just tried to do it as fast as possible",1503327
2386,20,Male,right,left,Some of the time,Not at all,Some of the time,completely random,1478600
5354,18,Female,right,left,Some of the time,Not at all,Most of the time,sometimes if the problem was easier to add or if it was a multiplication problem that I knew right away in my head ,2913373
4627,21,Female ,left,right,Not at all,Not at all,Always,N/A,4875396
2563,20,Female,left,right,Not at all,Not at all,Always,I usually did chose the same column based on the highest number shown. ,2773853
5134,18,Female,right,left,Not at all,Not at all,Always,"If I was confident in my math skills for that problem, I would go with whatever I thought would yield the highest point value. If I wasn't confident in my math skills for a problem, I would choose addition regardless of what I thought would yield the highest point value.",2362555
3388,20,Female,right,left,Not at all,Not at all,Always,"If the numbers in one slot machine were on average higher than the numbers in the other, I attempted to solve for that slot machine to hopefully get more points. But if the multiplication problem was too hard in my head, I just did addition, even if that slot machine had the lower overall number of points.",2504149
4092,19,Female ,left,right,Not at all,Not at all,Most of the time,"if the numbers in the middle started off high, they were more likely to be outliers than numbers that were at the top.",3808537
5100,18,Female,right,left,Not at all,Not at all,Always,I just thought about what method (multiplication or addition) would make me go fastest,2830833
5338,18,Female,left,right,Not at all,Not at all,Most of the time,I pick which ever column had the highest numbers,7430128
