subid,age,gender,add_condition,mult_condition,time_elapsed
3280,19,Male,2,0,1700287
4051,19,Male,0,3,1089534
3847,18,Male,2,3,1015679
4197,18,Male,1,2,2080699
4104,19,Female,3,0,2054044
4437,18,Female,0,2,2149291
4039,18,Male,2,0,1124382
1101,20,Female,3,2,1830448
4456,19,Male,3,2,1444716
4312,18,MTF,3,2,1268337
1940,22,Female,1,3,1838732
4463,20,Female,1,0,1303190
4457,20,Male,3,0,1598415
4285,18,Male,3,1,26732537
4310,21,Male,2,3,1374982
3942,18,Female,2,0,1045345
2726,19,Male,2,0,2037578
4423,20,Female,0,3,1586486
979,20,Female,2,1,1670130
4147,18,Male,2,1,1806684
4421,19,Female,3,0,1475920
4459,18,Male,2,2,1830968
4462,19,Female,0,0,1489659
3491,20,Female,2,0,1500456
4461,19,Male,1,3,1315905
808,21,Male,1,2,1050822
4464,18,Male,3,3,1014952
3311,19,Female,3,1,1247783
4375,21,Female,2,0,1245373
4440,19,Female,0,3,1340083
4353,19,Male,2,3,2039546
4359,18,Female,1,2,1212311
3968,18,Female,1,2,1853167
525,21,Female,1,0,1360181
4102,19,Male,2,2,1161543
4246,18,Male,3,3,921306
2854,20,Male,2,3,1373134
3771,19,Male,2,1,1368785
4206,19,Male,2,0,1330362
1876,20,Male,0,1,67730421
4233,17,Female,1,0,1694076
4326,18,Female,2,1,1582725
3999,19,Male,0,2,1053605
853,20,Male,0,2,1774396
4435,18,Male,0,0,1361957
3818,18,Female,2,1,3328781
4465,19,Male,1,1,1240685
4388,18,Male,2,3,1594315
4126,20,Male,3,2,1215088
4217,20,Female,2,1,1644059
4169,18,Female,0,3,2067292
295,21,Female,0,2,1667614
4238,19,Male,1,3,1257500
4467,19,Female,3,3,3433925
3707,19,Male,0,2,3480104
4143,20,Female,3,0,1071878
2242,20,Female,1,0,1473349
2585,20,Male,2,0,2054449
3195,20,Female,0,2,1024943
4166,20,Female,1,2,1060134
2975,20,Female,2,1,2936959
4376,17,Female,1,2,1245419
3064,21,Female,2,0,1558882
3798,18,Female,1,0,2167958
4407,19,Female,0,1,1043955
4091,18,Male,1,2,1457016
2381,20,Male,0,1,2522447
4093,20,Male,0,2,1530006
4469,19,Male,2,1,1579676
4236,23,Male,3,1,1884385
3688,20,Male,0,0,1083459
4444,21,Male,1,2,1480845
4471,20,Female,1,3,1674143
4430,18,Male,3,1,1346432
4288,20,Male,3,1,1447190
3910,18,Female,3,0,975082
4408,18,Male,2,3,1546400
2351,19,Female,0,3,1497990
4160,20,Female,3,2,1203341
4297,18,Female,1,3,1101146
4219,18,Female,3,0,1349142
3545,19,Female,0,3,1178154
2370,19,Male,1,0,2024185
326,22,Male,0,3,1706752
2784,20,Female,3,1,1579590
4242,18,Female ,2,0,1220299
336,20,Male,2,3,1242245
2708,21,Female,1,0,2689694
4386,19,Female,0,2,3393725
2567,19,Female,2,0,1571591
1200,22,Female,3,2,2867227
4366,19,Female,1,1,2785222
2929,19,Male,1,0,2966847
4380,19,Male,1,2,1165807
4416,19,Male,0,3,1199328
4485,20,non binary,0,3,957341
4037,20,Female,3,1,1588255
3819,18,Male,1,1,1427137
486,21,Male,0,3,1302856
4426,18,Male,3,1,1856844
4480,19,Male,3,1,4216556
4250,20,Male,0,3,1367586
4419,20,Male,3,2,1270517
4200,19,Female,3,3,1866069
4486,18,Male,0,1,2103249
3867,20,Female,3,1,1447404
3892,18,Female,0,2,1714877
4484,19,Female,0,3,2465184
4214,19,Male,3,3,868776
4291,20,Female,3,1,1313749
3645,19,Male,0,3,1391611
4470,19,Male,0,2,1769865
4432,20,Female,1,3,1327651
1952,21,Female,3,3,1202910
4041,19,Male,3,3,1189952
4483,19,Female,0,2,7396250
4004,18,Male,0,0,1240968
3504,19,Female,2,1,907790
4442,18,Male,1,1,1271633
3924,19,Female,2,0,1680450
4105,18,Female,1,1,1514915
4417,19,Male,2,0,1275741
2931,21,Female,2,0,1391386
2524,19,Female,1,0,1690325
2703,19,Male,1,1,1178321
2649,19,Female,1,1,2529174
4389,19,Female,1,2,1524725
3995,19,Female,3,1,6328191
